Date,GOOG,AAPL,MSFT,AMZN,NASDAQ
2018-06-28,55.710999,44.448509,93.722107,85.072502,7503.680176000001
2018-06-29,55.782501,44.355061,93.70314,84.989998,7510.299805
2018-07-02,56.373001,44.851055,95.033455,85.689003,7567.689941
2018-07-03,55.144501,44.069912,94.121208,84.697998,7502.669922
2018-07-05,56.213501,44.424541,94.79588299999999,84.98650400000001,7586.430176000001
2018-07-06,57.008499,45.040356,96.126228,85.531502,7688.390137
2018-07-09,57.702498999999996,45.665749,96.781898,86.95099599999999,7756.200195
2018-07-10,57.641998,45.610638,97.038452,87.153503,7759.200195
2018-07-11,57.695,45.018786999999996,96.905426,87.75,7716.609863
2018-07-12,59.174,45.773579,99.005455,89.831001,7823.919922
2018-07-13,59.441002000000005,45.845459000000005,100.183746,90.65149699999999,7825.97998
2018-07-16,59.193001,45.744820000000004,99.689621,91.124496,7805.720215
2018-07-17,59.939999,45.87421,100.677864,92.196503,7855.120117
2018-07-18,59.793999,45.622612,99.889183,92.146004,7854.439941
2018-07-19,59.348,45.977249,99.204987,90.648499,7825.299805
2018-07-20,59.245499,45.871821999999995,100.981941,90.684998,7820.200195
2018-07-23,60.275002,45.912552000000005,102.597359,90.099998,7841.870117
2018-07-24,62.403999,46.245625,102.30278,91.461998,7840.77002
2018-07-25,63.185001,46.681713,105.315041,93.18049599999999,7932.240234000001
2018-07-26,63.4165,46.535553,104.16526,90.400002,7852.180176000001
2018-07-27,61.924999,45.761593,102.321793,90.86350300000001,7737.419922
2018-07-30,60.987,45.505207,100.12674,88.960999,7630.0
2018-07-31,60.862999,45.59626,100.801407,88.872002,7671.790039
2018-08-01,61.0005,48.282333,100.991455,89.858498,7707.290039
2018-08-02,61.307499,49.69368,102.217262,91.716499,7802.689941
2018-08-03,61.185501,49.837429,102.663857,91.164497,7812.009765999999
2018-08-06,61.238499,50.096233000000005,102.749382,92.387497,7859.680176000001
2018-08-07,62.111,49.626579,103.462082,93.124001,7883.660156
2018-08-08,62.280499,49.660121999999994,104.041718,94.32599599999999,7888.330078
2018-08-09,62.455002,50.050694,104.212761,94.92600300000001,7891.779785
2018-08-10,61.880501,49.901619000000004,103.576111,94.315002,7839.109863
2018-08-13,61.7505,50.223827,102.825401,94.809998,7819.709961
2018-08-14,62.105,50.435421000000005,104.108238,95.98249799999999,7870.890137
2018-08-15,60.719002,50.553249,102.696472,94.130997,7774.120117
2018-08-16,60.324501,51.293858,102.677391,94.32599599999999,7806.52002
2018-08-17,60.048,52.318191999999996,102.620163,94.111,7816.330078
2018-08-20,60.3885,51.80843,101.942894,93.835503,7821.009765999999
2018-08-21,60.081001,51.707423999999996,101.093941,94.170998,7859.169922
2018-08-22,60.366501,51.709843,102.12413000000001,95.245003,7889.100098000001
2018-08-23,60.269001,51.815639000000004,102.601074,95.144997,7878.459961
2018-08-24,61.032501,51.976749,103.40235899999999,95.269501,7945.97998
2018-08-27,62.091,52.404742999999996,104.547028,96.384003,8017.899901999999
2018-08-28,61.557499,52.827953,105.17662,96.640999,8030.040039
2018-08-29,62.465,53.616638,106.855469,99.904999,8109.689941
2018-08-30,61.956001,54.109577,106.78868100000001,100.119003,8088.359863
2018-08-31,60.9095,54.734756000000004,107.151169,100.635498,8109.540039
2018-09-04,59.849998,54.91029,106.55974599999999,101.975502,8091.25
2018-09-05,59.324001,54.552009999999996,103.48819,99.740997,7995.169922
2018-09-06,58.571999,53.6455,103.726669,97.915497,7922.72998
2018-09-07,58.241501,53.212685,103.2211,97.6035,7902.540039
2018-09-10,58.231998,52.498523999999996,104.337166,96.9505,7924.160156
2018-09-11,58.868,53.82584,106.11142,99.35749799999999,7972.470215
2018-09-12,58.140999,53.157379000000006,106.55974599999999,99.5,7954.22998
2018-09-13,58.766498999999996,54.44141,107.70443,99.4935,8013.709961
2018-09-14,58.626499,53.823432999999994,108.14321899999999,98.509499,8010.040039
